Name,Country,Political Group,Profile URL
Mounir SATOURI,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/197500
Marta TEMIDO,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/210480
Łukasz KOHUT,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/197523
Isabel SERRA SÁNCHEZ,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257009
Arkadiusz MULARCZYK,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257060
Francisco ASSIS,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/28307
Petras AUŠTREVIČIUS,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/124766
Robert BIEDROŃ,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/197498
Ľuboš BLAHA,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257005
Emmanouil FRAGKOS,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/198490
Tomasz FROELICH,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/190574
Małgorzata GOSIEWSKA,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257055
Bernard GUETTA,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/197543
Rima HASSAN,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/256912
Mircea-Gheorghe HAVA,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/197646
Rasa JUKNEVIČIENĖ,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/197840
Ondřej KOLÁŘ,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/256846
András LÁSZLÓ,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/256860
Reinhold LOPATKA,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/220896
Antonio LÓPEZ-ISTÚRIZ WHITE,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/28399
Jorge MARTÍN FRÍAS,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257029
Liudas MAŽYLIS,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/197841
Urmas PAET,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/129073
Chloé RIDEL,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/256904
Nacho SÁNCHEZ AMOR,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/197722
Silvia SARDONE,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/197578
Marco TARQUINIO,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257160
Matthieu VALET,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/256875
Catarina VIEIRA,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257437
Isabel WISELER-LIMA,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/197421
Barry ANDREWS,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/204332
Mieke ANDRIESE,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/130881
Jaume ASENS LLODRÀ,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257015
Sebastião BUGALHO,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257081
Danilo DELLA VALLE,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257155
Ruth FIRMENICH,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/25758
Sandra GÓMEZ LÓPEZ,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/256997
Hana JALLOUL MURO,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/256992
Marc JONGEN,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/256942
Mariusz KAMIŃSKI,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257056
Thierry MARIANI,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/197623
Tiago MOREIRA DE SÁ,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257054
Ştefan MUŞOIU,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257103
Hannah NEUMANN,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/197464
Maria NOICHL,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/124836
Jan-Christoph OETJEN,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/197432
Aodhán Ó RÍORDÁIN,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257238
Bert-Jan RUISSEN,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/197773
Ilaria SALIS,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257127
Alice TEODORESCU MÅWE,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/257089
Waldemar TOMASZEWSKI,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/96697
Adrián VÁZQUEZ LÁZARA,Not Found,Not Found,https://www.europarl.europa.eu/meps/en/204400
